PROGRAM_ID;PARAMETER;START_YEAR;END_YEAR;METHOD;METHOD_DESCRIPTION
LTM_ALTM;PH_FLD;1979;2009;APHA 1985;Glass body Ross combination electrode. APHA. 1981, 1985. Standard Methods for the Examination of Water and Wastewater, 15th and 16th eds (respectively). American Public Health Association, American Water Works Association, Water Pollution Control Federation, Washington, D.C.
LTM_ALTM;COND;1979;2009;APHA 1985;YSI model 32 meter. APHA. 1981, 1985. Standard Methods for the Examination of Water and Wastewater, 15th and 16th eds (respectively). American Public Health Association, American Water Works Association, Water Pollution Control Federation, Washington, D.C.
LTM_ALTM;PH_LAB;1979;2009;APHA 1985, Hillman et al 1986;Glass body Ross combination electrode, 300ppm CO2. APHA. 1981, 1985. Standard Methods for the Examination of Water and Wastewater, 15th and 16th eds (respectively). American Public Health Association, American Water Works Association, Water Pollution Control Federation, Washington, D.C. Hillman,D.C., J. Potter, and S. Simon, 1986.  Analytical methods for the National Surface Water Survey, Eastern Lake Survey.  EPA/600/4-86/009, EPA Las Vegas. Handbook of Methods for Acid Deposition Studies:  Laboratory Analysis For Surface Water Chemistry, EPA 600/4-87-026, 1987.
LTM_ALTM;AL_MON;1979;2009;Barnes 1976;AAS. Barnes, R.B. 1976. The determination of specific forms of aluminum in natural water. Chemical Geology 15:177-191.
LTM_ALTM;DOC;1979;2009;Dohrman 1984;Dohrman direct injection. Automated Laboratory Total Organic Carbon Analyzer. Xertex Corporation. Santa Clara, CA.
LTM_ALTM;DIC;1979;2009;Dohrman 1984;CO2 detection by infrared spectophotometry.  Automated Laboratory Total Organic Carbon Analyzer. Xertex Corporation. Santa Clara, CA.
LTM_ALTM;AL_ORG;1979;2009;Driscoll 1984;Fractionation by ion exchange column. Driscoll, C.T. 1984. A procedure for the fractionation of aqueous aluminum in dilute acidic waters. Internat. J. Enivron. Analyt. Chem. 16:267-284.
LTM_ALTM;COLOR_TRU;1979;2009;EPA 1983;Colorimetric platinum on unfiltered sample. Methods for Chemical Analysis of Water and Wastes, EPA 600/4-79-020, 1979, Revised 1983.
LTM_ALTM;NH4;1979;2009;EPA 1983;Phenate colorimetry. Methods for Chemical Analysis of Water and Wastes, EPA 600/4-79-020, 1979, Revised 1983.
LTM_ALTM;SIO2;1979;2009;EPA 1983;Heteropoly blue complex colorimetry. Methods for Chemical Analysis of Water and Wastes, EPA 600/4-79-020, 1979, Revised 1983.
